time_ms,Ip
1.00340432,-0.4268387218463468
1.00440432,-0.5244636070925602
1.00540432,-0.6278951971708719
1.0064043200000001,-0.7370070179656905
1.00740432,-0.8436954326758106
1.0084043200000001,-0.9378421418145754
1.00940432,-1.019984495709699
1.01040432,-1.0968436195034141
1.01140432,-1.174616600652406
1.01240432,-1.2574858639277648
1.01340432,-1.3465012026651093
1.01440432,-1.4281835260262392
1.01540432,-1.4981310360903757
1.0164043200000001,-1.5743882270821434
1.01740432,-1.6650438465316675
1.01840432,-1.7543928398511552
1.01940432,-1.806662912834852
1.02040432,-1.7894918754090012
1.02140432,-1.6953553760068907
1.02240432,-1.5387719796938921
1.0234043199999998,-1.3363660587923434
1.0244043200000001,-1.0962470884315976
1.02540432,-0.8206182455981974
1.0264043200000001,-0.5301853882104908
1.02740432,-0.25185939621911047
1.02840432,0.0036031980934740915
1.02940432,0.2357835700099571
1.03040432,0.4498112479015095
1.0314043199999998,0.6600764378781809
1.03240432,0.877850862202207
1.03340432,1.098105540556741
1.0344043200000002,1.3173982873961751
1.03540432,1.5487799539957638
1.03640432,1.8037206096019673
1.03740432,2.071054464632301
1.03840432,2.3300228341251668
1.03940432,2.571888200240247
1.04040432,2.8075736640580526
1.0414043199999998,3.0447445928303196
1.0424043200000002,3.2768152566298347
1.04340432,3.4980414025002666
1.0444043200000002,3.7079921374065634
1.04540432,3.9090438577349396
1.04640432,4.110833880770791
1.04740432,4.315117650874022
1.04840432,4.513978710794852
1.0494043199999998,4.702334747135545
1.05040432,4.88799930910022
1.0514043199999998,5.075471268244762
1.0524043200000002,5.264816844427127
1.05340432,5.454650855806964
1.05440432,5.641950394695943
1.05540432,5.833234512407625
1.05640432,6.03208023355732
1.05740432,6.236886618562409
1.05840432,6.445532968091946
1.0594043199999998,6.651838590017064
1.06040432,6.849103035110719
1.06140432,7.04220611564763
1.0624043200000002,7.245097719518405
1.06340432,7.456141719215779
1.06440432,7.663650960288763
1.06540432,7.864565049095212
1.06640432,8.06724527335163
1.0674043199999999,8.275077727133478
1.06840432,8.483119407275062
1.0694043199999999,8.687973602669324
1.0704043200000002,8.889094189818238
1.07140432,9.08766766673238
1.07240432,9.283631902931305
1.07340432,9.473812855543358
1.07440432,9.660309336255594
1.07540432,9.845275823814042
1.07640432,10.019370120273365
1.0774043199999999,10.185789680447193
1.07840432,10.350955203007949
1.07940432,10.507927426036751
1.08040432,10.654480961773665
1.08140432,10.790682027017567
1.08240432,10.917956798526028
1.08340432,11.04020938971557
1.08440432,11.15562340786142
1.0854043199999999,11.255916641597707
1.08640432,11.339943018017358
1.0874043199999999,11.419468770572045
1.08840432,11.502030254222376
1.08940432,11.580313238337645
1.09040432,11.644823221846053
1.09140432,11.698978015334582
1.09240432,11.752399920599018
1.09340432,11.80209659399403
1.09440432,11.840288147400898
1.0954043199999999,11.866916861833829
1.09640432,11.881662800361298
1.0974043199999999,11.882857622836113
1.09840432,11.875484436935835
1.09940432,11.867451233012702
1.10040432,11.850771747443687
1.10140432,11.809950226930482
1.10240432,11.760365022249445
1.1034043199999999,11.71864241505169
1.10440432,11.673589433013007
1.1054043199999999,11.61302509983392
1.10640432,11.539431995089629
1.10740432,11.463807427430112
1.10840432,11.387775934580006
1.10940432,11.303402956538648
1.11040432,11.209778034730107
1.1114043200000001,11.11059255035316
1.11240432,11.005941286881338
1.11340432,10.894744691712802
1.11440432,10.779407083270428
1.11540432,10.666375634051917
1.11640432,10.552352089379525
1.1174043200000001,10.428019329900309
1.11840432,10.29630152783605
1.1194043200000001,10.163234067533168
1.12040432,10.02361628381287
1.12140432,9.872004817371035
1.12240432,9.711471037978185
1.12340432,9.54875651322972
1.12440432,9.387937852295593
1.12540432,9.216824754120566
1.12640432,9.022611564624057
1.1274043200000001,8.818149548950132
1.12840432,8.611202749517773
1.1294043200000001,8.395971993652367
1.13040432,8.170518161818364
1.13140432,7.93435962016278
1.13240432,7.693817487358103
1.13340432,7.453147785295869
1.1344043199999998,7.212678160486334
1.1354043200000001,6.971602807258606
1.13640432,6.727237149960828
1.1374043200000001,6.476694797409735
1.13840432,6.220986764291183
1.13940432,5.965953110459765
1.14040432,5.712573878438846
1.14140432,5.455105812170899
1.14240432,5.19747923201696
1.14340432,4.949385145457256
1.14440432,4.7082014149906115
1.1454043200000001,4.461042368834768
1.14640432,4.205627556226403
1.14740432,3.9549399465710735
1.14840432,3.712071631242978
1.14940432,3.470782809285538
1.15040432,3.22873108561069
1.15140432,2.9939929513995196
1.1524043199999998,2.7761200367517063
1.1534043200000001,2.56508403653595
1.15440432,2.352704438139881
1.1554043200000002,2.145877819669778
1.15640432,1.944404804400989
1.15740432,1.7460209214775944
1.15840432,1.5573899666125328
1.15940432,1.3819926673377267
1.16040432,1.2149095008038273
1.16140432,1.0512054580804886
1.1624043199999998,0.8937558254060036
1.1634043200000002,0.7495196216877105
1.16440432,0.620036862801868
1.16540432,0.5031055213433717
1.16640432,0.3996756553260923
1.16740432,0.31254511793287065
1.16840432,0.23909276726524809
1.16940432,0.17388704949371458
1.1704043199999998,0.11613912650753377
1.17140432,0.07156615981497794
1.17240432,0.0417706060930243
1.1734043200000002,0.023494904687566986
1.17440432,0.018683196363440402
1.17540432,0.019947729554331772
1.17640432,0.02677940591257766
1.17740432,0.051323956159677664
1.17840432,0.09192334368577804
1.17940432,0.14764935565000314
1.1804043199999998,0.2147633725802791
1.1814043200000002,0.2882069907234097
1.18240432,0.37222272914505083
1.18340432,0.4682426976297336
1.18440432,0.5756339091809082
1.18540432,0.6902076603207377
1.18640432,0.810368352590416
1.18740432,0.9477341969998747
1.1884043199999998,1.1081317479279562
1.18940432,1.276875979922437
1.19040432,1.4441109126996992
1.1914043200000002,1.6174799236453907
1.19240432,1.803492935313642
1.19340432,1.9983963359776737
1.19440432,2.197675717979564
1.19540432,2.4035094118772236
1.1964043199999999,2.617444093969766
1.19740432,2.8334628994399225
1.1984043199999999,3.0523373567010026
1.19940432,3.2824686127735845
1.20040432,3.5184597028849964
1.20140432,3.758444070069885
1.20240432,4.008371105419769
1.20340432,4.26728622753302
1.20440432,4.535342993215409
1.20540432,4.8102628644293475
1.2064043199999999,5.0925523957943994
1.20740432,5.386993856937295
1.2084043199999999,5.690161249441502
1.2094043200000002,5.994892181847774
1.21040432,6.302771855353626
1.21140432,6.622456106713827
1.21240432,6.9536471921400675
1.21340432,7.290634025650917
1.2144043199999999,7.633658188072161
1.21540432,7.981647131486568
1.2164043199999999,8.332959494383772
1.21740432,8.69041595971072
1.21840432,9.058504331670946
1.21940432,9.437417038375344
1.22040432,9.821746836291794
1.22140432,10.208312586194978
1.22240432,10.598581520116852
1.22340432,10.997364945796136
1.2244043199999999,11.404060826128784
1.22540432,11.810790497917765
1.2264043199999999,12.220286169222817
1.2274043200000002,12.635642873811008
1.22840432,13.057896206856128
1.22940432,13.490680524089186
1.23040432,13.92345941319823
1.23140432,14.34587296342815
1.2324043199999999,14.76711588263089
1.23340432,15.20028594006564
1.2344043199999999,15.645428105698215
1.23540432,16.096242362701872
1.23640432,16.549213786906535
1.23740432,17.002494572749242
1.2384043200000001,17.455717711774298
1.23940432,17.90943800693256
1.2404043200000001,18.363268788682376
1.24140432,18.81513660513866
1.24240432,19.26314450067369
1.24340432,19.714143109666765
1.24440432,20.171805659153847
1.24540432,20.627497889378333
1.2464043200000001,21.07294836629029
1.24740432,21.50714262084702
1.2484043200000001,21.938000106112895
1.24940432,22.36597731960896
1.25040432,22.79021662746362
1.25140432,23.217676349162247
1.25240432,23.639280757547027
1.25340432,24.052093119067393
1.25440432,24.46490554282957
1.25540432,24.870662418097027
1.2564043200000001,25.263602596490216
1.25740432,25.651929712436356
1.2584043200000001,26.04104264662007
1.25940432,26.430181619732537
1.26040432,26.815595774572387
1.26140432,27.193897079645097
1.26240432,27.563923607762973
1.2634043199999998,27.921149694945655
1.2644043200000001,28.26420742876971
1.26540432,28.600031034686538
1.2664043200000001,28.935898982980802
1.26740432,29.269732870352584
1.26840432,29.59546631830642
1.26940432,29.914671299307514
1.27040432,30.22798704568146
1.27140432,30.530089188914786
1.27240432,30.82254639895436
1.2734043199999998,31.11363406005779
1.2744043200000001,31.398769813693377
1.27540432,31.673929183539855
1.2764043200000001,31.94440300133681
1.27740432,32.210450137284255
1.27840432,32.46729750269287
1.27940432,32.7053263741341
1.28040432,32.92740091303969
1.2814043199999998,33.15184941570237
1.28240432,33.3850740749254
1.28340432,33.61875606212237
1.2844043200000002,33.844575447867896
1.28540432,34.063527608146984
1.28640432,34.279774394905246
1.28740432,34.48648320119901
1.28840432,34.68091954064522
1.28940432,34.87040954212148
1.29040432,35.061905574765746
1.2914043199999998,35.25770070772697
1.2924043200000002,35.45542870486449
1.29340432,35.64862301044835
1.2944043200000002,35.83212026610917
1.29540432,36.00858179123824
1.29640432,36.180667807037395
1.29740432,36.35383235176914
1.29840432,36.53296937980667
1.2994043199999998,36.71123307678363
1.30040432,36.88941597929451
1.30140432,37.07147709989417
1.3024043200000002,37.25075364584836
1.30340432,37.42002274053317
1.30440432,37.57336470203546
1.30540432,37.72088296900287
1.30640432,37.88087831674335
1.30740432,38.05152697957561
1.30840432,38.21777479542902
1.3094043199999998,38.37630517194347
1.31040432,38.53553908911968
1.31140432,38.69346205376871
1.31240432,38.84190963976238
1.31340432,38.98575928888323
1.31440432,39.13603617417428
1.31540432,39.2978018651892
1.31640432,39.4645644842422
1.3174043199999999,39.625545509908335
1.31840432,39.77946805297313
1.3194043199999999,39.92598576268267
1.3204043200000002,40.06847775259382
1.32140432,40.2166571916739
1.32240432,40.373714662351006
1.32340432,40.52923769176388
1.32440432,40.676539268711565
1.32540432,40.82756409630406
1.32640432,40.981771791111896
1.3274043199999999,41.1278138376162
1.32840432,41.26347069890869
1.32940432,41.39341587389174
1.33040432,41.526234655228336
